level_name,num_triplets,complete_accuracy,partial_accuracy,roc_auc,mean_same_scene_similarity,mean_diff_scene_similarity_a_n,mean_diff_scene_similarity_p_n,mean_delta_ap_an,mean_delta_ap_pn,avg_same_diff_delta,t_statistic_ap_an,p_value_ap_an,cohens_d_ap_an,t_statistic_ap_pn,p_value_ap_pn,cohens_d_ap_pn,model,layer_depth
features,300,0.54,0.64,0.6423888888888889,0.9510997857650121,0.9409477492173512,0.941198408404986,0.010152036547660828,0.009901377360026041,0.010026706953843435,7.743820953449116,1.5053142397202342e-13,0.44783672680972514,7.445029565969782,1.0411012376261054e-12,0.43055717482078665,RN50_yfcc15m,0
features,300,0.6133333333333333,0.7166666666666667,0.71025,0.9603104186058045,0.9461060639222463,0.946799318989118,0.014204354683558146,0.013511099616686503,0.013857727150122325,9.91673594088271,3.1657997824886545e-20,0.5734996447823753,9.573144588584324,4.1244684871353903e-19,0.5536292438764676,roberta-ViT-B-32_laion2b_s12b_b32k,0
features,300,0.65,0.7433333333333333,0.7274666666666666,0.9615623430411021,0.9446598215897878,0.9436967013279597,0.01690252145131429,0.017865641713142394,0.01738408158222834,11.178089544821278,1.7988542894478035e-24,0.6464456069902214,11.74121651814678,1.9650048728945174e-26,0.6790120806086019,ViT-B-16-plus-240_laion400m_e31,0
features,300,0.65,0.7433333333333333,0.7274666666666666,0.9615623430411021,0.9446598215897878,0.9436967013279597,0.01690252145131429,0.017865641713142394,0.01738408158222834,11.178089544821278,1.7988542894478035e-24,0.6464456069902214,11.74121651814678,1.9650048728945174e-26,0.6790120806086019,ViT-B-16-plus-240_laion400m_e32,0
features,300,0.6466666666666666,0.7666666666666667,0.7270388888888889,0.958789259592692,0.9377731291453043,0.936710081299146,0.021016130447387694,0.02207917829354604,0.02154765437046687,10.220073869344713,3.1654763173165397e-21,0.5910421307818003,11.306321124000828,6.479266119055337e-25,0.6538614312251295,ViT-B-16-quickgelu_dfn2b,0
features,300,0.6333333333333333,0.7633333333333333,0.7322444444444445,0.9640817683935166,0.9500123657782873,0.9502355494101842,0.01406940261522929,0.013846218983332315,0.013957810799280802,11.370116354034469,3.8919809935012687e-25,0.6575508035000236,11.997312949652866,2.4536743596390874e-27,0.6938225187489321,ViT-B-16-quickgelu_metaclip_400m,0
features,300,0.6466666666666666,0.7633333333333333,0.7152277777777777,0.9724385404586792,0.9618148565292358,0.9615242181221644,0.01062368392944336,0.01091432233651479,0.010769003132979075,10.251814306601487,2.4830213532853524e-21,0.5928777260165939,11.835647601787521,9.140786980057981e-27,0.6844731694678573,ViT-B-16-quickgelu_metaclip_fullcc,0
features,300,0.58,0.6966666666666667,0.6729777777777778,0.9704968118667603,0.9612894241015116,0.9606796856721243,0.009207387765248617,0.009817126194636027,0.009512256979942322,8.251617297602031,5.046102324702594e-15,0.4772033471341527,9.407625985410345,1.3973388672214387e-18,0.5440570551565223,ViT-B-16-quickgelu_openai,0
features,300,0.6833333333333333,0.8133333333333334,0.7404222222222222,0.9769051480293274,0.965597273906072,0.964606483578682,0.011307874123255412,0.012298664450645447,0.011803269286950429,10.723400743736919,6.469673314751506e-23,0.6201502737550454,11.926543710892522,4.366889971563927e-27,0.6897298276075988,ViT-B-16-SigLIP-256_webli,0
features,300,0.68,0.7733333333333333,0.7506166666666667,0.980593641201655,0.9701192049185435,0.9695235355695089,0.010474436283111573,0.0110701056321462,0.010772270957628886,11.680830940058053,3.201949723805851e-26,0.6755198906843034,12.43162770024125,6.963348902257118e-29,0.7189395881003661,ViT-B-16-SigLIP-384_webli,0
